Account;Account Type;Run as Root;Permission Type;Permission
SID:S-1-5-21-3809049748-4289420245-1520328038-6778;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6810;-;False;allow;read
SID:S-1-5-21-3809049748-4289420245-1520328038-6817;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6839;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6845;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6893;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6917;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6923;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-6943;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8175;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8376;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8672;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8757;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-8966;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-9002;-;False;allow;change
SID:S-1-5-21-3809049748-4289420245-1520328038-9058;-;False;allow;change
EHN\mrodriguez;user;False;allow;change
EHN\fmagallon;user;False;allow;change
